iter	Passed	Remaining
537	23824	42600
538	23869	42557
539	23923	42530
540	23975	42499
541	24018	42454
542	24062	42409
543	24105	42362
544	24147	42314
545	24191	42269
546	24249	42247
547	24293	42202
548	24337	42158
549	24380	42112
550	24422	42062
551	24465	42017
552	24508	41969
553	24552	41924
554	24595	41878
555	24638	41831
556	24681	41785
557	24723	41738
558	24769	41695
559	24812	41649
560	24855	41602
561	24900	41560
562	24946	41517
563	24989	41471
564	25030	41422
565	25072	41373
566	25116	41329
567	25159	41283
568	25202	41236
569	25245	41190
570	25287	41141
571	25330	41095
572	25374	41050
573	25418	41006
574	25460	40957
575	25503	40911
576	25545	40864
577	25587	40816
578	25629	40768
579	25672	40721
580	25716	40677
581	25758	40629
582	25802	40584
583	25845	40538
584	25888	40492
585	25932	40447
586	25975	40401
587	26017	40353
588	26061	40308
589	26102	40260
590	26143	40210
591	26186	40164
592	26228	40116
593	26271	40070
594	26316	40027
595	26358	39979
596	26401	39933
597	26445	39889
598	26489	39845
599	26531	39797
600	26575	39752
601	26621	39710
602	26665	39665
603	26708	39620
604	26750	39573
605	26794	39528
606	26840	39486
607	26885	39444
608	26930	39401
609	26972	39353
610	27017	39309
611	27060	39263
612	27104	39219
613	27146	39173
614	27191	39128
615	27235	39084
616	27278	39038
617	27321	38992
618	27362	38944
619	27407	38900
620	27448	38852
621	27491	38806
622	27535	38761
623	27580	38718
624	27621	38670
625	27663	38623
626	27703	38573
627	27748	38529
628	27788	38480
629	27833	38436
630	27876	38390
631	27918	38344
632	27965	38303
633	28009	38259
634	28053	38214
635	28097	38170
636	28143	38128
637	28189	38087
638	28232	38040
639	28276	37997
640	28318	37949
641	28363	37906
642	28409	37864
643	28453	37820
644	28497	37776
645	28540	37730
646	28584	37685
647	28630	37643
648	28673	37597
649	28714	37549
650	28757	37504
651	28800	37458
652	28842	37410
653	28886	37367
654	28929	37321
655	28972	37275
656	29015	37229
657	29059	37185
658	29103	37141
659	29147	37096
660	29189	37049
661	29230	37001
662	29274	36956
663	29317	36911
664	29360	36865
665	29404	36821
666	29446	36774
667	29490	36730
668	29534	36686
669	29576	36640
670	29620	36595
671	29661	36547
672	29704	36502
673	29746	36455
674	29790	36410
675	29833	36365
676	29876	36319
677	29920	36275
678	29963	36230
679	30007	36186
680	30050	36140
681	30091	36092
682	30135	36047
683	30179	36004
684	30222	35958
685	30267	35914
686	30311	35870
687	30352	35823
688	30397	35779
689	30439	35733
690	30484	35689
691	30528	35646
692	30569	35598
693	30612	35552
694	30653	35504
695	30696	35459
696	30736	35411
697	30780	35367
698	30823	35321
699	30865	35274
700	30908	35229
701	30953	35186
702	30995	35140
703	31042	35098
704	31083	35052
705	31126	35006
706	31169	34961
707	31214	34917
708	31256	34871
709	31302	34829
710	31346	34785
711	31392	34742
712	31433	34695
713	31476	34650
714	31520	34606
715	31563	34561
716	31605	34514
717	31649	34470
718	31690	34423
719	31731	34375
720	31776	34333
721	31821	34289
722	31864	34244
723	31909	34201
724	31952	34155
725	31997	34113
726	32041	34069
727	32086	34025
728	32128	33979
729	32172	33934
730	32215	33889
731	32259	33846
732	32301	33799
733	32342	33752
734	32386	33708
735	32430	33663
736	32475	33620
737	32520	33578
738	32565	33534
739	32606	33487
740	32649	33442
741	32691	33396
742	32734	33351
743	32777	33306
744	32821	33261
745	32864	33216
746	32907	33171
747	32951	33127
748	32995	33083
749	33039	33039
750	33085	32997
751	33130	32954
752	33171	32907
753	33217	32865
754	33260	32820
755	33304	32775
756	33349	32732
757	33393	32688
758	33434	32641
759	33480	32599
760	33523	32554
761	33568	32511
762	33613	32468
763	33660	32426
764	33704	32382
765	33748	32338
766	33792	32294
767	33838	32251
768	33882	32207
769	33926	32163
770	33969	32118
771	34013	32074
772	34055	32028
773	34097	31983
774	34141	31938
775	34183	31893
776	34228	31849
777	34269	31803
778	34313	31759
779	34358	31715
780	34400	31669
781	34445	31626
782	34489	31582
783	34533	31537
784	34576	31493
785	34619	31448
786	34664	31405
787	34706	31358
788	34749	31314
789	34791	31268
790	34839	31227
791	34879	31180
792	34923	31136
793	34966	31091
794	35010	31047
795	35052	31001
796	35093	30954
797	35138	30911
798	35184	30868
799	35229	30825
800	35271	30780
801	35315	30735
802	35359	30691
803	35402	30646
804	35443	30600
805	35486	30555
806	35529	30510
807	35572	30465
808	35615	30420
809	35659	30376
810	35703	30332
811	35747	30288
812	35791	30244
813	35833	30198
814	35879	30156
815	35923	30112
816	35965	30066
817	36010	30023
818	36055	29980
819	36097	29934
820	36142	29891
821	36188	29848
822	36231	29803
823	36276	29760
824	36318	29714
825	36361	29670
826	36403	29624
827	36448	29581
828	36489	29535
829	36533	29490
830	36579	29448
831	36622	29403
832	36663	29357
833	36706	29312
834	36748	29266
835	36791	29222
836	36833	29176
837	36877	29132
838	36921	29088
839	36964	29043
840	37010	29000
841	37051	28954
842	37094	28910
843	37140	28867
844	37184	28823
845	37227	28778
846	37270	28733
847	37313	28688
848	37355	28643
849	37396	28597
850	37440	28553
851	37481	28507
852	37526	28464
853	37569	28419
854	37613	28375
855	37659	28332
856	37700	28286
857	37744	28242
858	37786	28197
859	37829	28152
860	37873	28107
861	37916	28063
862	37959	28019
863	38002	27974
864	38044	27928
865	38088	27884
866	38131	27840
867	38176	27796
868	38221	27753
869	38265	27709
870	38308	27664
871	38351	27619
872	38393	27575
873	38447	27537
874	38489	27492
875	38534	27448
876	38577	27404
877	38620	27360
878	38663	27314
879	38708	27271
880	38765	27236
881	38812	27194
882	38853	27149
883	38896	27104
884	38939	27059
885	38984	27016
886	39027	26971
887	39070	26926
888	39112	26881
889	39155	26836
890	39216	26804
891	39260	26760
892	39304	26716
893	39348	26672
894	39392	26628
895	39434	26582
896	39480	26540
897	39522	26495
898	39564	26449
899	39607	26405
900	39649	26359
901	39693	26315
902	39739	26272
903	39782	26228
904	39826	26184
905	39871	26140
906	39914	26096
907	39958	26051
908	39998	26005
909	40044	25962
910	40088	25918
911	40130	25873
912	40176	25830
913	40218	25785
914	40262	25741
915	40306	25697
916	40348	25652
917	40392	25608
918	40438	25565
919	40481	25521
920	40525	25476
921	40570	25433
922	40614	25389
923	40657	25344
924	40701	25300
925	40745	25257
926	40788	25212
927	40833	25168
928	40877	25124
929	40921	25081
930	40965	25036
931	41009	24992
932	41052	24948
933	41095	24903
934	41138	24859
935	41181	24814
936	41224	24769
937	41268	24725
938	41311	24681
939	41356	24637
940	41401	24594
941	41444	24550
942	41486	24504
943	41530	24460
944	41574	24416
945	41617	24372
946	41660	24327
947	41702	24282
948	41746	24238
949	41789	24193
950	41832	24149
951	41874	24104
952	41917	24059
953	41962	24016
954	42004	23970
955	42046	23925
956	42088	23881
957	42132	23836
958	42176	23792
959	42219	23748
960	42262	23703
961	42304	23658
962	42347	23614
963	42390	23569
964	42434	23525
965	42480	23482
966	42523	23438
967	42566	23393
968	42608	23349
969	42654	23305
970	42697	23261
971	42741	23217
972	42781	23171
973	42824	23127
974	42868	23083
975	42911	23038
976	42957	22995
977	42999	22950
978	43044	22907
979	43087	22862
980	43130	22818
981	43174	22774
982	43217	22729
983	43262	22686
984	43305	22642
985	43348	22597
986	43390	22552
987	43434	22508
988	43476	22463
989	43519	22419
990	43561	22374
991	43604	22329
992	43646	22284
993	43692	22241
994	43737	22198
995	43781	22154
996	43824	22110
997	43868	22066
998	43910	22020
999	43952	21976
1000	43995	21931
1001	44041	21888
1002	44085	21845
1003	44136	21804
1004	44178	21759
1005	44221	21715
1006	44263	21670
1007	44307	21626
1008	44353	21583
1009	44395	21538
1010	44436	21492
1011	44480	21449
1012	44524	21405
1013	44568	21361
1014	44613	21317
1015	44657	21273
1016	44699	21228
1017	44742	21184
1018	44787	21141
1019	44834	21098
1020	44878	21054
1021	44922	21010
1022	44964	20965
1023	45008	20921
1024	45051	20877
1025	45095	20833
1026	45138	20789
1027	45180	20744
1028	45224	20700
1029	45268	20656
1030	45312	20612
1031	45356	20568
1032	45398	20524
1033	45442	20479
1034	45483	20434
1035	45526	20390
1036	45571	20346
1037	45614	20302
1038	45659	20258
1039	45703	20215
1040	45747	20171
1041	45792	20127
1042	45836	20083
1043	45880	20039
1044	45923	19995
1045	45966	19950
1046	46011	19907
1047	46056	19863
1048	46100	19820
1049	46143	19775
1050	46186	19731
1051	46228	19686
1052	46272	19642
1053	46318	19599
1054	46362	19555
1055	46406	19511
1056	46451	19468
1057	46494	19424
1058	46538	19380
1059	46581	19335
1060	46624	19291
1061	46666	19246
1062	46710	19202
1063	46755	19159
1064	46798	19114
1065	46841	19070
1066	46885	19026
1067	46930	18983
1068	46972	18938
1069	47018	18895
1070	47062	18851
1071	47105	18807
1072	47149	18763
1073	47191	18718
1074	47235	18674
1075	47278	18630
1076	47323	18586
1077	47365	18541
1078	47408	18497
1079	47451	18453
1080	47494	18409
1081	47536	18364
1082	47580	18320
1083	47623	18276
1084	47667	18232
1085	47709	18187
1086	47752	18143
1087	47796	18099
1088	47840	18055
1089	47884	18011
1090	47932	17969
1091	47977	17925
1092	48021	17881
1093	48065	17837
1094	48108	17793
1095	48151	17749
1096	48196	17705
1097	48240	17661
1098	48282	17617
1099	48325	17573
1100	48368	17528
1101	48411	17484
1102	48456	17440
1103	48500	17396
1104	48544	17352
1105	48587	17308
1106	48630	17264
1107	48672	17219
1108	48717	17176
1109	48761	17132
1110	48805	17088
1111	48850	17045
1112	48893	17000
1113	48944	16959
1114	48988	16915
1115	49031	16870
1116	49074	16826
1117	49119	16783
1118	49169	16741
1119	49213	16697
1120	49256	16653
1121	49299	16608
1122	49343	16564
1123	49386	16520
1124	49431	16477
1125	49475	16433
1126	49518	16389
1127	49559	16344
1128	49601	16299
1129	49644	16255
1130	49688	16211
1131	49733	16167
1132	49777	16123
1133	49822	16080
1134	49864	16035
1135	49908	15991
1136	49952	15947
1137	49994	15903
1138	50038	15859
1139	50081	15815
1140	50124	15771
1141	50168	15726
1142	50211	15682
1143	50254	15638
1144	50298	15594
1145	50341	15550
1146	50385	15506
1147	50428	15462
1148	50469	15417
1149	50512	15373
1150	50553	15328
1151	50597	15284
1152	50640	15240
1153	50684	15196
1154	50730	15153
1155	50772	15108
1156	50818	15065
1157	50863	15021
1158	50906	14977
1159	50950	14933
1160	50995	14890
1161	51039	14846
1162	51082	14801
1163	51127	14758
1164	51170	14714
1165	51214	14670
1166	51257	14626
1167	51300	14581
1168	51343	14537
1169	51391	14494
1170	51431	14450
1171	51474	14405
